Main Statistics

T;HMF;NMF;INMF;IRMF;HPC;NPC;INPC;IRPC;HCMP;NCMP
23;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9408444072113156;11.0
24;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.6216645307831763;11.0
25;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.2909972514977329;11.0
26;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.39789680741454586;11.0
27;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.5304842162007528;9.0
28;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.5570625634438561;8.0
29;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.7191521910669602;8.0
30;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.49051020100306725;8.0
31;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.49016477033521;7.0
32;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.7364578457760614;7.0
33;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.622427308086878;7.0
34;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.20264410566694718;7.0
35;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.5176138204732404;7.0
36;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.31441458083797347;7.0
37;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.26923504194323156;6.0
38;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.32931185744131775;6.0
39;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.03770621996381776;5.0
40;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.10514921379907002;17.0
41;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.163814054817149;17.0
42;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.13857776955981466;17.0
43;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.1794253576326609;17.0
44;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.28576145533309855;17.0
45;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.17949776821783614;17.0
46;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.29148798269301024;16.0
47;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.06471771906518758;15.0
48;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.15422128934487292;15.0
49;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.13406479241024094;14.0
50;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.12003627074307029;13.0
51;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.19085212063352494;13.0
52;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.13094115843302775;13.0
53;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.19320842699169027;13.0
54;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.17108954440564614;13.0
55;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.16753366722668292;13.0
56;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.16840829837667498;13.0
57;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.17727903910723586;13.0
58;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.2268452968642423;10.0
59;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.35474892067833114;10.0
60;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.1275725059031598;9.0
61;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.05164865507545332;7.0
62;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.3083940166559998;7.0
63;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.21834922787983793;7.0
64;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.21684935326473956;7.0
65;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.38017794421683637;7.0
